id,title,description,goal,elements,category,difficulty,url
5d94487cd006b428a01de1bb,나라 수도 맞히는 프로그램,다음 대회가 열리는 나라에 대해 이야기하는 소녀와 감독,나라 수도 맞히는 프로그램을 창의적으로 만들어 봄으로써 선택 구조를 이해할 수 있습니다.,"[""변수"", ""숨기기"", ""정답"", ""질문"", ""기다리기"", ""대답"", ""정하기"", ""만약"", ""만일"", ""조건"", ""말하기""]",금성출판사,,https://playentry.org/course/5d94487cd006b428a01de1bb
5d94487cd006b428a01de1bd,꽃잎 도장 프로그램,시상대에서 축하 꽃다발(분홍색꽃)을 받고 웃고 있는 소녀,꽃잎 도장 프로그램을 창의적으로 만들어 봄으로써 반복 구조를 이해할 수 있습니다.,"[""반복하기"", ""도장찍기"", ""회전하기"", ""방향""]",금성출판사,,https://playentry.org/course/5d94487cd006b428a01de1bd
5d94487dd006b428a01de1bf,"로봇 청소기야, 도와줘!",아이스 링크에 떨어진 쓰레기를 보며 청소기를 생각하는 소녀,"순차, 선택, 반복 구조를 이용하여 문제를 해결하는 프로그램을 만들 수 있습니다.","[""그리기"", ""굵기"", ""색깔"", ""반복하기"", ""이동 방향"", ""움직이기"", ""조건"", ""만약"", ""만일"", ""닿기"", ""회전하기""]",금성출판사,,https://playentry.org/course/5d94487dd006b428a01de1bf
5d944a17af06ec2c6dd48345,엔트리 프로그램 체험하기,학교 앞 문구점을 향해 걸어가는 엔트리봇,프로그래밍 도구를 사용하여 기초적인 프로그래밍을 할 수 있습니다.,"[""이동하기"", ""움직이기"", ""캐릭터""]",동아출판,,https://playentry.org/course/5d944a17af06ec2c6dd48345
5d944a17af06ec2c6dd48347,준비물 합계 구하는 프로그램,준비물을 사는데 필요한 금액을 계산하는 엔트리봇,"입력, 처리, 출력의 과정을 거치는 간단한 프로그램을 만들 수 있다.","[""말하기"", ""숫자"", ""더하기""]",동아출판,,https://playentry.org/course/5d944a17af06ec2c6dd48347
5d944a17af06ec2c6dd48349,순차·선택·반복구조 프로그램,학교 가는 길에 친구를 만나 인사하는 엔트리봇,"1. 순차ㆍ선택ㆍ반복 구조로 프로그램의 구조를 이야기 할 수 있다.
2. 프로그램을 설계하고 나만의 프로그램을 만들 수 있다.","[""닿기"", ""반복하기"", ""이동"", ""움직이기"", ""말하기""]",동아출판,,https://playentry.org/course/5d944a17af06ec2c6dd48349
5d944a17af06ec2c6dd4834b,우리반 행복 저금통 프로그램,교실 교탁위에 올려진 저금통에 저금을 하고 있는 엔트리봇,"1. 순차ㆍ선택ㆍ반복 구조로 프로그램의 구조를 이야기 할 수 있다.
2. 프로그램을 설계하고 나만의 프로그램을 만들 수 있다.","[""반복하기"", ""더하기"", ""조건"", ""만약"", ""만일"", ""말하기"", ""크다"", ""같다"", ""비교"", ""초기화"", ""0"", ""버튼""]",동아출판,,https://playentry.org/course/5d944a17af06ec2c6dd4834b
5da7c284de24ee4920240d96,기초 프로그래밍 체험하기,동화 <아기 돼지 삼형제>의 한장면,프로그래밍 도구를 사용하여 기초적인 프로그램을 만들 수 있습니다.,"[""말하기"", ""캐릭터"", ""오브젝트"", ""움직이기"", ""이동""]",미래엔,,https://playentry.org/course/5da7c284de24ee4920240d96
5da7c284de24ee4920240d98,간단한 애니메이션 만들기,동화 <아기 돼지 삼형제> 애니메이션,자신만의 간단한 애니메이션 프로그램을 만들 수 있습니다.,"[""애니메이션"", ""말하기"", ""움직이기"", ""모양 숨기기"", ""기다리기"", ""오브젝트"", ""명령하기"", ""반복"", ""바꾸기"", ""모양 보이기"", ""좌표"", ""회전""]",미래엔,,https://playentry.org/course/5da7c284de24ee4920240d98
5da7c284de24ee4920240d9a,나이 계산 프로그램,친구의 생일 파티에 초대받은 엔트리봇,숫자와 문자를 연결한 결과를 출력하는 프로그램을 만들 수 있습니다.,"[""질문하기"", ""대답"", ""정하기"", ""기다리기"", ""빼기"", ""더하기"", ""연산"", ""수학"", ""계산"", ""합치기"", ""말하기"", ""나이""]",미래엔,,https://playentry.org/course/5da7c284de24ee4920240d9a
5da7c284de24ee4920240d9c,전자 잠금장치 프로그램,열쇠를 잃어버려 집에 들어가지 못하는 친구,"순차·선택 ·반복 구조를 이해하고, 일상생활 문제를 해결하는 간단한 프로그램을 만들 수 있습니다.","[""변수"", ""숨기기"", ""정하기"", ""반복하기"", ""대답 기다리기"", ""조건"", ""비교"", ""같다"", ""만약"", ""만일"", ""모양 바꾸기"", ""말하기"", ""중단하기""]",미래엔,,https://playentry.org/course/5da7c284de24ee4920240d9c
5d945022d934f5b3012a722b,프로그래밍 과정을 알아보자,등교시간_집앞에서 만난 친구에게 나를 소개하는 나,블록 기반의 교육용 프로그래밍 도구를 활용하여 기초적인 프로그램을 만들 수 있다.,"[""캐릭터"", ""말하기""]",비상교육,,https://playentry.org/course/5d945022d934f5b3012a722b
5d945022d934f5b3012a722d,입출력프로그램을 만들어 보자,사회시간_광복 몇 주년인지 궁금한 친구,"프로그램의 입력·처리·출력과정을 이해하고, 입·출력 프로그램을 만들 수 있다.","[""질문하기"", ""대답"", ""기다리기"", ""빼기"", ""수학"", ""계산"", ""합친 값"", ""말하기""]",비상교육,,https://playentry.org/course/5d945022d934f5b3012a722d
5d945022d934f5b3012a722f,프로그램의 구조를 알아보자,실과시간_방석퀴즈놀이를 하고 있는 사람들,순차·반복·선택 구조를 활용한 간단한 프로그램을 만들 수 있다. ,"[""말하기"", ""움직이기"", ""기다리기"", ""반복하기"", ""질문하기"", ""대답"", ""기다리기"", ""조건"", ""비교"", ""같다"", ""만약"", ""만익"", ""위치"", ""이동하기"", ""좌표""]",비상교육,,https://playentry.org/course/5d945022d934f5b3012a722f
5d945022d934f5b3012a7231,프로그래밍으로 문제해결,체육시간_체력에 맞는 운동을 제공하는 체육엔트리봇선생님,일상생활의  문제를 프로그래밍으로 해결할 수 있다.,"[""말하기"", ""질문하기"", ""대답"", ""기다리기"", ""만일"", ""만약"", ""조건"", ""비교"", ""반복하기"", ""소리"", ""재생하기"", ""모양 바꾸기"", ""기다리기""]",비상교육,,https://playentry.org/course/5d945022d934f5b3012a7231
5d944e823dce2a9a04a7a413,프로그래밍 단계 이해하기,서로 반갑게 인사하는 친구와 엔트리봇,"프로그래밍 도구의 구성 요소와 각각의 기능을 알고, 간단한 프로그램을 만들 수 있습니다.","[""기다리기"", ""움직이기"", ""말하기""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a413
5d944e823dce2a9a04a7a415,프로그램 만들어 실행해보기1,사라지는 마술을 보여주는 엔트리봇과 깜짝 놀라는 친구,"프로그래밍 도구의 구성 요소와 각각의 기능을 알고, 간단한 프로그램을 만들 수 있습니다.","[""말하기"", ""기다리기"", ""모양보이기""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a415
5d944e823dce2a9a04a7a417,프로그램 만들어 실행해보기2,친구와 함께 신나게 달리는 엔트리봇,프로그래밍 도구의 구성 요소와 각각의 기능을 알고 간단한 프로그램을 만들 수 있습니다.,"[""말하기"", ""좌표"", ""움직이기"", ""이동하기""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a417
5d944e823dce2a9a04a7a419,숫자를 입력받아 처리하기,간식을 먹으며 남은 용돈을 계산하는 친구와 엔트리봇,"입력-처리-출력 과정을 이해하고, 숫자를 입력 받아 처리하는 간단한 프로그램을 만들 수 있습니다.","[""질문하기"", ""대답"", ""기다리기"", ""말하기"", ""빼기"", ""입력"", ""숫자"", ""수학"", ""계산""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a419
5d944e823dce2a9a04a7a41b,문자열을 입력받아 처리하기,엔트리봇에게 자신의 친구를 소개해주는 친구,"입력-처리-출력 과정을 이해하고, 문자를 입력 받아 처리하는 간단한 프로그램을 만들 수 있습니다.","[""질문하기"", ""기다리기"", ""대답"", ""입력하기"", ""문자열"", ""말하기""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a41b
5d944e823dce2a9a04a7a41d,여러 개의 문자열의 입력과 처리,새로 소개받은 친구와 즐겁게 대화하는 엔트리봇,"입력-처리-출력 과정을 이해하고, 문자를 입력 받아 처리하는 간단한 프로그램을 만들 수 있습니다.","[""질문하기"", ""기다리기"", ""대답"", ""정하기"", ""말하기"", ""합친 값""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a41d
5d944e823dce2a9a04a7a41f,프로그램으로 문제 해결하기,친구의 수학 공부를 도와주는 엔트리봇,"순차, 선택, 반복 구조를 이해하고, 문제를 해결하는 간단한 프로그램을 만들 수 있습니다.","[""질문하기"", ""대답"", ""기다리기"", ""말하기"", ""입력"", ""합친 값"", ""그리기"", ""반복하기"", ""움직이기"", ""이동 방향"", ""회전하기"", ""비교"", ""같다"", ""조건"", ""만약"", ""만일""]",천재교과서,,https://playentry.org/course/5d944e823dce2a9a04a7a41f
